t,value
1538918384,0
1538918387,0
1538918390,0
1538918393,0
1538918396,0
1538918399,0
1538918402,0
1538918405,0
1538918408,0
1538918411,0
1538918414,0
1538918417,0
1538918420,0
1538918423,0
1538918426,0
1538918429,0
1538918432,0
1538918435,0
1538918438,0
1538918441,0
1538918444,0
1538918447,0
1538918450,0
1538918453,0
1538918456,0
1538918459,0
1538918462,0
1538918465,0
1538918468,0
1538918471,0
1538918474,0
1538918477,0
1538918480,0
1538918483,0
1538918486,0
1538918489,0
1538918492,0
1538918495,0
1538918498,0
1538918501,0
1538918504,0
1538918507,0
1538918510,0
1538918513,0
1538918516,0
1538918519,0
1538918522,0
1538918525,0
1538918528,0
1538918531,0
1538918534,0
1538918537,0
1538918540,0
1538918543,1
1538918546,1
1538918549,1
1538918552,1
1538918555,1
1538918558,1
1538918561,1
1538918564,1
1538918567,1
1538918570,1
1538918573,1
1538918576,1
1538918579,1
1538918582,2
1538918585,1
1538918588,1
1538918591,1
1538918594,1
1538918597,1
1538918600,1
1538918603,1
1538918606,1
1538918609,1
1538918612,1
1538918615,1
1538918618,1
1538918621,1
1538918624,1
1538918627,1
1538918630,1
1538918633,1
1538918636,1
1538918639,1
t,value
1538918915,0
1538918918,0
1538918921,0
1538918924,0
1538918927,0
1538918930,0
1538918933,0
1538918936,0
1538918939,0
1538918942,0
1538918945,0
1538918948,0
1538918951,0
1538918954,0
1538918957,0
1538918960,0
1538918963,0
1538918966,0
1538918969,0
1538918972,0
1538918975,0
1538918978,0
1538918981,0
1538918984,0
1538918987,0
1538918990,0
1538918993,0
1538918996,0
1538918999,0
1538919002,0
1538919005,0
1538919008,0
1538919011,0
1538919014,4
1538919017,1
1538919020,1
1538919023,1
1538919026,1
1538919029,1
1538919032,1
1538919035,1
1538919038,1
1538919041,1
1538919044,1
1538919047,1
1538919050,1
1538919053,1
1538919056,1
1538919059,1
1538919062,1
1538919065,1
1538919068,1
1538919071,1
1538919074,3
1538919077,1
1538919080,1
1538919083,1
1538919086,1
1538919089,1
1538919092,1
1538919095,1
1538919098,1
1538919101,1
1538919104,1
1538919107,1
1538919110,1
1538919113,1
1538919116,1
1538919119,1
1538919122,1
1538919125,1
1538919128,1
1538919131,1
1538919134,1
